Player,start,end,ppg,apg,rpg,spg,bpg
Alaa Abdelnaby,1991,1995,5.72,0.33,3.3,0.28,0.27
Zaid AbdulAziz,1969,1978,9.02,1.19,8.05,0.63,0.98
Kareem Abdul-Jabbar,1970,1989,24.61,3.63,11.18,0.94,2.57
Mahmoud AbdulRauf,1991,2001,14.6,3.55,1.85,0.83,0.08
Tariq AbdulWahad,1998,2003,7.75,1.13,3.29,0.78,0.35
Shareef AbdurRahim,1997,2008,18.11,2.54,7.52,0.99,0.77
Tom Abernethy,1977,1981,5.58,1.2,3.17,0.58,0.19
Forest Able,1957,1957,0,1,1,0,0
John Abramovic,1947,1948,9.52,0.66,0,0,0
Alex Abrines,2017,2019,5.31,0.51,1.43,0.53,0.13
Precious Achiuwa,2021,2023,7.71,0.86,5.31,0.46,0.53
Alex Acker,2006,2009,2.7,0.53,0.97,0.2,0.13
Don Ackerman,1954,1954,1.54,0.82,0.54,0,0
Mark Acres,1988,1993,3.58,0.48,4.07,0.37,0.28
Bud Acton,1968,1968,3.35,0.48,2.04,0,0
Quincy Acy,2013,2019,4.87,0.64,3.5,0.42,0.4
Alvan Adams,1976,1988,14.08,4.06,7.02,1.3,0.82
Don Adams,1971,1977,8.79,1.93,5.58,1.14,0.22
George Adams,1973,1975,7.68,1.47,4.06,0.57,0.38
Hassan Adams,2007,2009,2.53,0.19,1.15,0.25,0.07
Jaylen Adams,2019,2021,2.68,1.63,1.54,0.34,0.12
Jordan Adams,2015,2016,3.16,0.59,0.94,0.59,0.22
Michael Adams,1986,1996,14.73,6.45,2.91,1.66,0.1
Steven Adams,2014,2023,9.23,1.53,8.2,0.88,0.96
Rafael Addison,1987,1997,5.77,0.89,2.06,0.39,0.22
Bam Adebayo,2018,2023,14.7,3.43,8.48,1.03,0.89
Deng Adel,2019,2019,1.68,0.26,1,0.05,0.21
Rick Adelman,1969,1975,7.75,3.48,2.44,0.94,0.08
Jeff Adrien,2011,2015,4.63,0.65,4.31,0.33,0.52
Arron Afflalo,2008,2018,10.76,1.82,2.86,0.45,0.19
Ochai Agbaji,2023,2023,6.09,0.72,1.81,0.26,0.15
Maurice Ager,2007,2011,2.06,0.23,0.56,0.07,0.07
Mark Aguirre,1982,1994,20,3.11,4.96,0.74,0.32
Blake Ahearn,2008,2012,4.63,1.16,1.16,0.37,0
Danny Ainge,1982,1995,11.48,4.03,2.66,1.09,0.13
Matt Aitch,1968,1968,5.6,0.4,3.56,0,0
Alexis Ajinca,2009,2017,5.3,0.49,3.92,0.35,0.62
Henry Akin,1967,1969,3.5,0.45,2.06,0,0
Josh Akognon,2013,2013,1.67,0.33,0.33,0,0
DeVaughn AkoonPurcell,2019,2019,1,0.86,0.57,0.29,0
Solomon Alabi,2011,2012,1.5,0.19,2.35,0.15,0.42
Mark Alarie,1987,1991,7.48,1.12,3.45,0.41,0.34
Gary Alcorn,1960,1961,3.35,0.31,4.22,0,0
Santi Aldama,2022,2023,7.48,1.05,4.01,0.45,0.56
Furkan Aldemir,2015,2015,2.27,0.68,4.29,0.41,0.39
Cole Aldrich,2011,2018,3.1,0.54,3.34,0.4,0.69
LaMarcus Aldridge,2007,2022,19.11,1.93,8.12,0.7,1.1
Chuck Aleksinas,1985,1985,5.09,0.49,3.65,0.2,0.2
Cliff Alexander,2016,2016,1.25,0,0.75,0.12,0.25
Cory Alexander,1996,2005,5.46,2.72,1.57,0.86,0.12
Courtney Alexander,2001,2003,9.04,1.21,2.19,0.59,0.1
Gary Alexander,1994,1994,1.73,0.18,1.36,0.27,0
Joe Alexander,2009,2010,4.21,0.66,1.79,0.24,0.45
